horizon,response,irf,lower,upper,regime
0,ffr,0.763977771100514,0.5739187007100426,0.8606125770921744,pre79
1,ffr,0.5471703864461891,0.33583099426425367,0.657931152528993,pre79
2,ffr,0.33954522694200456,0.11777666074284185,0.47718724388548284,pre79
3,ffr,0.1514409508704533,-0.08213969829896803,0.3237252360417893,pre79
4,ffr,-0.008562027508887567,-0.24609276387127177,0.19849600049834615,pre79
5,ffr,-0.13493626405256554,-0.37313441120749075,0.101218770901352,pre79
6,ffr,-0.22543318588634387,-0.4560079471441124,0.03806642318464787,pre79
7,ffr,-0.28077099967781377,-0.4901846052280018,-0.001924754222179573,pre79
8,ffr,-0.3040592804053579,-0.5054934266497797,-0.022072063594008928,pre79
9,ffr,-0.3001175644243662,-0.49245282251589684,-0.01724823840980498,pre79
10,ffr,-0.2747862446241958,-0.4573875390577008,-0.0072187875090246306,pre79
11,ffr,-0.2342936256409646,-0.3846980512710149,0.013672517576867044,pre79
12,ffr,-0.18471938932635962,-0.34487813453444793,0.060331709814433226,pre79
13,ffr,-0.13157662090004626,-0.28153233998934557,0.11493135380797065,pre79
14,ffr,-0.07952007650668486,-0.23365569078740994,0.15807493962106173,pre79
15,ffr,-0.03217696199301683,-0.19106923368675555,0.1890430462835304,pre79
16,ffr,0.007912026805496908,-0.12801473224916948,0.2109505114705238,pre79
17,ffr,0.03925940598461746,-0.09018848217182278,0.23635082189186318,pre79
18,ffr,0.06132654930830809,-0.05730623163813578,0.24744071722481664,pre79
19,ffr,0.0743704358797636,-0.037449203741523954,0.25999836378763524,pre79
20,ffr,0.07926277168748377,-0.034434254315304814,0.23255281230271235,pre79
0,ffr,0.7702845621561651,0.5463672506653727,0.8828133000919123,post79
1,ffr,0.6128608994895256,0.35895733206065994,0.7524628260296271,post79
2,ffr,0.3108821213015499,0.0611656019520167,0.4783890199259522,post79
3,ffr,0.2523163452671976,-0.0024632917288532454,0.4108617914360966,post79
4,ffr,0.21185640371097378,-0.0647879914762163,0.37339357823077157,post79
5,ffr,0.14293798109864056,-0.14682955053126123,0.28966477793354395,post79
6,ffr,0.1345004196069559,-0.15137354356610866,0.2729904637746356,post79
7,ffr,0.11176607949416056,-0.17531648592894444,0.2652196677578794,post79
8,ffr,0.07590637297427533,-0.2126138940271376,0.24096001638183057,post79
9,ffr,0.05689560010067068,-0.2230049841555164,0.21972376063710225,post79
10,ffr,0.0384560997282747,-0.23581228863335488,0.20390957460686598,post79
11,ffr,0.017199417882461432,-0.25319528508370237,0.18629417265861992,post79
12,ffr,0.0016572884182368996,-0.25965330886662674,0.17201762792277614,post79
13,ffr,-0.012100084477949425,-0.25808596592225624,0.16118874901535454,post79
14,ffr,-0.02541904506527107,-0.2614650562865567,0.15013605631468918,post79
15,ffr,-0.0359562783912549,-0.2669441384438349,0.1398996659194215,post79
16,ffr,-0.04466831362844595,-0.2695659561810641,0.12977303279662927,post79
17,ffr,-0.05218636925087476,-0.2652314689094999,0.12028884226906655,post79
18,ffr,-0.057980615011600324,-0.26315901263637215,0.11221938669781927,post79
19,ffr,-0.06236217112684296,-0.25825858078838304,0.1057252818376252,post79
20,ffr,-0.06564128679857588,-0.2573227069980725,0.10011769054126833,post79
